"ID","presentation","cost","parameter","Score"
1,"rand","global","mu",280.759525051555
2,"rand","global","mu",224.654366091326
3,"rand","global","mu",289.824085553265
4,"rand","global","mu",415.21194152947
5,"rand","global","mu",247.11696080583
6,"rand","global","mu",226.837418651805
7,"rand","global","mu",312.959121072105
8,"rand","global","mu",269.926084753176
9,"rand","global","mu",241.111500780043
10,"rand","global","mu",370.379381057591
11,"rand","global","mu",260.07817777482
12,"rand","global","mu",255.840359578956
13,"rand","global","mu",455.563362856546
14,"rand","global","mu",307.749789545248
16,"rand","global","mu",1663.71978125464
17,"rand","global","mu",306.686452216487
19,"rand","global","mu",144.027114567845
20,"rand","global","mu",362.500725930104
21,"rand","global","mu",354.592413820526
22,"rand","global","mu",382.599697267355
23,"rand","global","mu",126.660575275439
24,"rand","global","mu",233.184770554434
25,"rand","global","mu",440.740448812332
26,"rand","global","mu",188.334567149105
27,"rand","global","mu",278.967192082537
28,"rand","global","mu",258.111886866257
29,"rand","global","mu",239.635015125292
30,"rand","global","mu",579.468816969372
31,"rand","global","mu",288.563635600592
34,"rand","global","mu",488.902758301718
35,"rand","global","mu",308.965539876085
37,"rand","global","mu",252.124305380768
38,"rand","global","mu",228.435045513325
39,"rand","global","mu",229.086353195743
40,"rand","global","mu",353.523586008891
43,"rand","global","mu",249.049863646417
44,"rand","global","mu",303.262753693994
45,"rand","global","mu",172.867251335712
46,"rand","global","mu",244.394600067666
47,"rand","global","mu",306.358260024259
50,"rand","global","mu",234.165352048165
51,"rand","global","mu",285.394368543897
53,"rand","global","mu",241.646334146719
54,"rand","global","mu",342.007764175655
55,"rand","global","mu",393.779197575566
56,"rand","global","mu",239.088418734143
57,"rand","global","mu",247.017382325093
58,"rand","global","mu",190.80295984932
59,"rand","global","mu",244.247086109415
60,"rand","global","mu",282.420010376415
61,"rand","global","mu",269.388629906383
62,"rand","global","mu",450.354590274508
63,"rand","global","mu",149.909196756767
64,"rand","global","mu",282.57476094818
65,"rand","global","mu",228.444178120572
66,"rand","global","mu",207.845371877264
67,"rand","global","mu",169.9379799876
69,"rand","global","mu",314.477610979982
70,"rand","global","mu",211.271995383398
71,"rand","global","mu",171.10341432077
72,"rand","global","mu",286.919559157259
73,"rand","global","mu",309.084554036722
74,"rand","global","mu",273.805812705181
75,"rand","global","mu",105.550347198112
76,"rand","global","mu",505.152348542017
77,"rand","global","mu",345.342117977626
78,"rand","global","mu",276.959445200622
80,"rand","global","mu",394.338596976144
81,"rand","global","mu",93.7020735131769
82,"rand","global","mu",367.447865971788
83,"rand","global","mu",313.284078960457
84,"rand","global","mu",294.271189965084
85,"rand","global","mu",295.352631732046
86,"rand","global","mu",289.485339046911
87,"rand","global","mu",183.615319137344
88,"rand","global","mu",202.687682436617
89,"rand","global","mu",240.753577977547
90,"rand","global","mu",322.558259317772
91,"rand","global","mu",318.974913171698
92,"rand","global","mu",314.886931756333
93,"rand","global","mu",162.416267495486
94,"rand","global","mu",274.478464379162
95,"rand","global","mu",231.189328160666
97,"rand","global","mu",497.024094928946
98,"rand","global","mu",160.005284948109
99,"rand","global","mu",451.892447868152
100,"rand","global","mu",233.923213569206
101,"rand","global","mu",329.023196291637
102,"rand","global","mu",329.697544790831
1,"rand","global","sigma",111.469037813478
2,"rand","global","sigma",31.0282814412326
3,"rand","global","sigma",66.1670044123681
4,"rand","global","sigma",3.3222377694498
5,"rand","global","sigma",73.1812210555889
6,"rand","global","sigma",12.4492862956233
7,"rand","global","sigma",27.8166176553145
8,"rand","global","sigma",40.9666346848681
9,"rand","global","sigma",-34.4770792643416
10,"rand","global","sigma",-82.1354089960863
11,"rand","global","sigma",30.9243324575041
12,"rand","global","sigma",48.5821440994779
13,"rand","global","sigma",89.1004395382963
14,"rand","global","sigma",19.3398117552304
16,"rand","global","sigma",902.511368976953
17,"rand","global","sigma",35.4933181318067
19,"rand","global","sigma",-1.39940271905788
20,"rand","global","sigma",62.4287482917218
21,"rand","global","sigma",26.9871038834727
22,"rand","global","sigma",49.5438138656008
23,"rand","global","sigma",-19.4297286080235
24,"rand","global","sigma",-52.764006270717
25,"rand","global","sigma",27.1351022590834
26,"rand","global","sigma",24.9037898636248
27,"rand","global","sigma",50.2421781350815
28,"rand","global","sigma",129.871701545025
29,"rand","global","sigma",10.6684924425717
30,"rand","global","sigma",160.057821114389
31,"rand","global","sigma",47.4525549808723
34,"rand","global","sigma",182.176756432736
35,"rand","global","sigma",-0.816170669222906
37,"rand","global","sigma",41.8330436431359
38,"rand","global","sigma",-14.7163757669839
39,"rand","global","sigma",41.3600509162981
40,"rand","global","sigma",-8.83763309100005
43,"rand","global","sigma",29.5280707033803
44,"rand","global","sigma",172.533493923583
45,"rand","global","sigma",-8.52036828856926
46,"rand","global","sigma",42.6417665282827
47,"rand","global","sigma",-14.904388943671
50,"rand","global","sigma",-1.93188088115019
51,"rand","global","sigma",-8.85882444633695
53,"rand","global","sigma",-46.3917987546096
54,"rand","global","sigma",104.205371000821
55,"rand","global","sigma",26.061140242161
56,"rand","global","sigma",21.8813797440763
57,"rand","global","sigma",16.066168830339
58,"rand","global","sigma",51.0427089761722
59,"rand","global","sigma",44.6913037282917
60,"rand","global","sigma",35.0775272925109
61,"rand","global","sigma",15.3165393671779
62,"rand","global","sigma",104.245449933319
63,"rand","global","sigma",-30.2438428845579
64,"rand","global","sigma",25.8450124462688
65,"rand","global","sigma",43.3529426781731
66,"rand","global","sigma",39.3625947525467
67,"rand","global","sigma",22.5580308842974
69,"rand","global","sigma",9.36547280061451
70,"rand","global","sigma",21.5426939967904
71,"rand","global","sigma",-43.4806433113564
72,"rand","global","sigma",15.6151636379817
73,"rand","global","sigma",123.916978942791
74,"rand","global","sigma",4.24157953799191
75,"rand","global","sigma",-56.5818253090023
76,"rand","global","sigma",67.0062953899877
77,"rand","global","sigma",65.2054550639953
78,"rand","global","sigma",-68.9372946357465
80,"rand","global","sigma",80.4671706599223
81,"rand","global","sigma",-53.3113501720815
82,"rand","global","sigma",84.834669658662
83,"rand","global","sigma",23.8250980792504
84,"rand","global","sigma",60.5300631363823
85,"rand","global","sigma",27.4282589903132
86,"rand","global","sigma",31.9115256658676
87,"rand","global","sigma",-3.43858835246941
88,"rand","global","sigma",-24.0648845227408
89,"rand","global","sigma",66.5206015735614
90,"rand","global","sigma",60.6965648544544
91,"rand","global","sigma",14.4463279265314
92,"rand","global","sigma",-6.622350273116
93,"rand","global","sigma",53.2335490180805
94,"rand","global","sigma",-8.17333213329802
95,"rand","global","sigma",5.64430075915606
97,"rand","global","sigma",191.073026935072
98,"rand","global","sigma",-6.84806914315081
99,"rand","global","sigma",19.9625559939395
100,"rand","global","sigma",4.52831294392883
101,"rand","global","sigma",17.929283429233
102,"rand","global","sigma",14.2313962967208
1,"rand","global","tau",233.631758470618
2,"rand","global","tau",88.4719870219526
3,"rand","global","tau",225.173116459992
4,"rand","global","tau",253.814665714403
5,"rand","global","tau",232.804486582892
6,"rand","global","tau",94.5441573334207
7,"rand","global","tau",312.024241451525
8,"rand","global","tau",449.951950711229
9,"rand","global","tau",229.986621959338
10,"rand","global","tau",743.736644518217
11,"rand","global","tau",55.5114621858046
12,"rand","global","tau",225.937240676181
13,"rand","global","tau",220.65485179483
14,"rand","global","tau",298.815314127369
16,"rand","global","tau",50.3463880102564
17,"rand","global","tau",439.844234562813
19,"rand","global","tau",153.437923894181
20,"rand","global","tau",261.221552653511
21,"rand","global","tau",205.41897881337
22,"rand","global","tau",572.273045408075
23,"rand","global","tau",189.13022010615
24,"rand","global","tau",755.19276496888
25,"rand","global","tau",107.672156744907
26,"rand","global","tau",65.1879155444333
27,"rand","global","tau",213.274866698299
28,"rand","global","tau",351.947870551433
29,"rand","global","tau",211.220882228336
30,"rand","global","tau",684.768530053916
31,"rand","global","tau",290.204177064848
34,"rand","global","tau",270.595908375427
35,"rand","global","tau",312.945832272714
37,"rand","global","tau",498.963650702381
38,"rand","global","tau",318.332633728603
39,"rand","global","tau",290.191088897225
40,"rand","global","tau",319.372503395931
43,"rand","global","tau",127.908026208817
44,"rand","global","tau",714.868433236024
45,"rand","global","tau",156.771654717492
46,"rand","global","tau",448.086064283577
47,"rand","global","tau",238.864719848621
50,"rand","global","tau",205.706022847709
51,"rand","global","tau",309.919043829492
53,"rand","global","tau",436.060287545181
54,"rand","global","tau",254.820659419609
55,"rand","global","tau",616.671891685488
56,"rand","global","tau",357.189877997804
57,"rand","global","tau",131.649582244645
58,"rand","global","tau",320.405835841506
59,"rand","global","tau",411.836629134863
60,"rand","global","tau",274.922465199933
61,"rand","global","tau",207.89196797611
62,"rand","global","tau",184.286036595228
63,"rand","global","tau",153.298747475042
64,"rand","global","tau",162.802295300558
65,"rand","global","tau",233.65025836394
66,"rand","global","tau",247.70623730547
67,"rand","global","tau",151.397688642282
69,"rand","global","tau",204.041582913727
70,"rand","global","tau",63.9672837824828
71,"rand","global","tau",265.462578291472
72,"rand","global","tau",189.391727819968
73,"rand","global","tau",76.222394065905
74,"rand","global","tau",339.450999726478
75,"rand","global","tau",966.807099109014
76,"rand","global","tau",113.873898494048
77,"rand","global","tau",279.86051858896
78,"rand","global","tau",429.939162942114
80,"rand","global","tau",554.318436713282
81,"rand","global","tau",281.809242846139
82,"rand","global","tau",185.276854644698
83,"rand","global","tau",213.570030871327
84,"rand","global","tau",219.303350010732
85,"rand","global","tau",215.878822335125
86,"rand","global","tau",385.66217281588
87,"rand","global","tau",395.296739795611
88,"rand","global","tau",513.158783560211
89,"rand","global","tau",271.162955978003
90,"rand","global","tau",144.650598016913
91,"rand","global","tau",320.246545527449
92,"rand","global","tau",125.877207147036
93,"rand","global","tau",289.447529473245
94,"rand","global","tau",156.075764970678
95,"rand","global","tau",307.718579229559
97,"rand","global","tau",214.459353515961
98,"rand","global","tau",159.739385956836
99,"rand","global","tau",37.1224011678635
100,"rand","global","tau",180.40180069458
101,"rand","global","tau",72.3850765286546
102,"rand","global","tau",444.421641245236
1,"alt","global","mu",327.938719085083
2,"alt","global","mu",205.225332849315
3,"alt","global","mu",316.106378040366
4,"alt","global","mu",536.166798811711
5,"alt","global","mu",62.0902234167291
6,"alt","global","mu",143.003412734145
7,"alt","global","mu",438.780940479619
8,"alt","global","mu",266.318754370611
9,"alt","global","mu",328.577351057691
10,"alt","global","mu",640.42447621391
11,"alt","global","mu",278.432721529361
12,"alt","global","mu",219.536128965576
13,"alt","global","mu",327.986573844629
14,"alt","global","mu",304.896996843596
16,"alt","global","mu",677.274706018712
17,"alt","global","mu",372.097357924251
19,"alt","global","mu",465.955922817029
20,"alt","global","mu",247.176614746082
21,"alt","global","mu",102.556737555389
22,"alt","global","mu",338.15862067825
23,"alt","global","mu",52.1472973188687
24,"alt","global","mu",205.177336552689
25,"alt","global","mu",361.051671038583
26,"alt","global","mu",210.3251058763
27,"alt","global","mu",380.128606455989
28,"alt","global","mu",422.663506373582
29,"alt","global","mu",288.891484346163
30,"alt","global","mu",654.175182708376
31,"alt","global","mu",604.680892494531
34,"alt","global","mu",267.648675659553
35,"alt","global","mu",540.28705737901
37,"alt","global","mu",485.747931888033
38,"alt","global","mu",327.411917318461
39,"alt","global","mu",407.613889901067
40,"alt","global","mu",286.170052575798
43,"alt","global","mu",384.842752899232
44,"alt","global","mu",169.561093552451
45,"alt","global","mu",314.202757362517
46,"alt","global","mu",324.053587923154
47,"alt","global","mu",289.690610660779
50,"alt","global","mu",226.781338003938
51,"alt","global","mu",283.969460008542
53,"alt","global","mu",289.646900913692
54,"alt","global","mu",532.899592268657
55,"alt","global","mu",478.765511682778
56,"alt","global","mu",306.053646203581
57,"alt","global","mu",266.259155588382
58,"alt","global","mu",199.657003730533
59,"alt","global","mu",208.076287785698
60,"alt","global","mu",434.103774391339
61,"alt","global","mu",244.928171950116
62,"alt","global","mu",376.950298210714
63,"alt","global","mu",228.676247724275
64,"alt","global","mu",311.027476069285
65,"alt","global","mu",410.656459166272
66,"alt","global","mu",504.023840495857
67,"alt","global","mu",405.451313964761
69,"alt","global","mu",405.818285504367
70,"alt","global","mu",157.015765996116
71,"alt","global","mu",-67.2995207196051
72,"alt","global","mu",447.196389831273
73,"alt","global","mu",343.700777962599
74,"alt","global","mu",234.135319811964
75,"alt","global","mu",289.555330069824
76,"alt","global","mu",424.04365118686
77,"alt","global","mu",300.046596191947
78,"alt","global","mu",237.54981027154
80,"alt","global","mu",464.427713701069
81,"alt","global","mu",484.877562929161
82,"alt","global","mu",315.697707243421
83,"alt","global","mu",393.711686437786
84,"alt","global","mu",198.324469137102
85,"alt","global","mu",433.982350255639
86,"alt","global","mu",524.766106614687
87,"alt","global","mu",246.786831433004
88,"alt","global","mu",287.834637864739
89,"alt","global","mu",254.645894564966
90,"alt","global","mu",204.534794125295
91,"alt","global","mu",714.383966315675
92,"alt","global","mu",296.584375144459
93,"alt","global","mu",196.919098153054
94,"alt","global","mu",257.663491787177
95,"alt","global","mu",343.77914811114
97,"alt","global","mu",409.983371408581
98,"alt","global","mu",167.271224578651
99,"alt","global","mu",290.408117722579
100,"alt","global","mu",223.955955587511
101,"alt","global","mu",273.92111828655
102,"alt","global","mu",295.889968101097
1,"alt","global","sigma",73.1685880924267
2,"alt","global","sigma",-40.0657353656865
3,"alt","global","sigma",10.9138881158557
4,"alt","global","sigma",52.579063509483
5,"alt","global","sigma",43.9057111547837
6,"alt","global","sigma",-47.1116779295483
7,"alt","global","sigma",17.5603230783381
8,"alt","global","sigma",-5.57938253360274
9,"alt","global","sigma",6.04153046538855
10,"alt","global","sigma",285.632351330856
11,"alt","global","sigma",7.76400676416701
12,"alt","global","sigma",-5.68940601444445
13,"alt","global","sigma",-10.3772113262482
14,"alt","global","sigma",37.3210952723701
16,"alt","global","sigma",205.680330492782
17,"alt","global","sigma",34.9027510951027
19,"alt","global","sigma",223.059616688512
20,"alt","global","sigma",-6.67984609718111
21,"alt","global","sigma",19.7725258513567
22,"alt","global","sigma",16.1793993565452
23,"alt","global","sigma",52.2606960276703
24,"alt","global","sigma",-52.7620600523304
25,"alt","global","sigma",11.5714915052241
26,"alt","global","sigma",-6.40862242877038
27,"alt","global","sigma",-0.0501736520139358
28,"alt","global","sigma",101.757919546503
29,"alt","global","sigma",-26.6381002296926
30,"alt","global","sigma",206.109965665514
31,"alt","global","sigma",212.904926259158
34,"alt","global","sigma",52.3089459993105
35,"alt","global","sigma",114.922935948666
37,"alt","global","sigma",54.6821051854163
38,"alt","global","sigma",-10.502469945741
39,"alt","global","sigma",77.5244369394422
40,"alt","global","sigma",-14.5535745329447
43,"alt","global","sigma",55.0905285576107
44,"alt","global","sigma",349.445585127973
45,"alt","global","sigma",35.2970227529979
46,"alt","global","sigma",-32.2407586230695
47,"alt","global","sigma",-10.4238255971523
50,"alt","global","sigma",-37.0967890805211
51,"alt","global","sigma",10.3267060171295
53,"alt","global","sigma",-46.3919471701024
54,"alt","global","sigma",210.192011046032
55,"alt","global","sigma",83.8202912064796
56,"alt","global","sigma",-45.4402717183158
57,"alt","global","sigma",18.7388173774207
58,"alt","global","sigma",-43.8306689398229
59,"alt","global","sigma",-2.16354645785665
60,"alt","global","sigma",70.2193676063426
61,"alt","global","sigma",16.9104255437019
62,"alt","global","sigma",82.7756553711632
63,"alt","global","sigma",-26.9840326250538
64,"alt","global","sigma",7.06060693737612
65,"alt","global","sigma",59.7565679749682
66,"alt","global","sigma",288.109125357792
67,"alt","global","sigma",32.8994672857873
69,"alt","global","sigma",80.555775575001
70,"alt","global","sigma",6.65868738961922
71,"alt","global","sigma",9.90057643303456
72,"alt","global","sigma",191.561639969677
73,"alt","global","sigma",69.8246818778262
74,"alt","global","sigma",-58.6361553370362
75,"alt","global","sigma",-56.5830802808854
76,"alt","global","sigma",41.8424075730894
77,"alt","global","sigma",-41.7571016297476
78,"alt","global","sigma",7.76401891628339
80,"alt","global","sigma",82.198948808526
81,"alt","global","sigma",139.055887862625
82,"alt","global","sigma",36.8044851131371
83,"alt","global","sigma",119.23467908443
84,"alt","global","sigma",-48.9080093674336
85,"alt","global","sigma",-51.5618357469834
86,"alt","global","sigma",96.6004365631026
87,"alt","global","sigma",12.5350100931104
88,"alt","global","sigma",72.8228171642738
89,"alt","global","sigma",-3.99025335694044
90,"alt","global","sigma",62.7864798124488
91,"alt","global","sigma",272.187220342789
92,"alt","global","sigma",4.17328980807652
93,"alt","global","sigma",-12.6598620282202
94,"alt","global","sigma",66.862653717554
95,"alt","global","sigma",26.7085250119192
97,"alt","global","sigma",65.063556218254
98,"alt","global","sigma",-30.1646705848984
99,"alt","global","sigma",88.7375250386065
100,"alt","global","sigma",31.200987031851
101,"alt","global","sigma",15.6597297612406
102,"alt","global","sigma",-57.8550671762653
1,"alt","global","tau",435.864067852464
2,"alt","global","tau",44.6105964504123
3,"alt","global","tau",556.456882404942
4,"alt","global","tau",372.21608769762
5,"alt","global","tau",350.430214643501
6,"alt","global","tau",200.731361244151
7,"alt","global","tau",527.774461016878
8,"alt","global","tau",348.549103545369
9,"alt","global","tau",181.832841036374
10,"alt","global","tau",508.325789024503
11,"alt","global","tau",153.141038303083
12,"alt","global","tau",225.507904475561
13,"alt","global","tau",537.152674020924
14,"alt","global","tau",311.713469323785
16,"alt","global","tau",711.773011582558
17,"alt","global","tau",814.353994456476
19,"alt","global","tau",121.25440205821
20,"alt","global","tau",263.23783194053
21,"alt","global","tau",213.981443704734
22,"alt","global","tau",365.541626507121
23,"alt","global","tau",226.03922423232
24,"alt","global","tau",908.826813332422
25,"alt","global","tau",230.517174896568
26,"alt","global","tau",108.025458637554
27,"alt","global","tau",217.818378892069
28,"alt","global","tau",233.039595065239
29,"alt","global","tau",253.047282314787
30,"alt","global","tau",499.577849096566
31,"alt","global","tau",111.090380937052
34,"alt","global","tau",277.714514284242
35,"alt","global","tau",166.913441514481
37,"alt","global","tau",732.018538403502
38,"alt","global","tau",410.599749961865
39,"alt","global","tau",215.309845472253
40,"alt","global","tau",240.587977296618
43,"alt","global","tau",363.060922029919
44,"alt","global","tau",611.06745637216
45,"alt","global","tau",131.655858070694
46,"alt","global","tau",510.581617883496
47,"alt","global","tau",415.461581322849
50,"alt","global","tau",258.643236902202
51,"alt","global","tau",223.744522190391
53,"alt","global","tau",298.795303103297
54,"alt","global","tau",186.119098481335
55,"alt","global","tau",624.585962114559
56,"alt","global","tau",615.406952136186
57,"alt","global","tau",90.163850506498
58,"alt","global","tau",239.526555251141
59,"alt","global","tau",332.474276715424
60,"alt","global","tau",91.5615208498643
61,"alt","global","tau",210.721326451976
62,"alt","global","tau",257.848051646773
63,"alt","global","tau",252.259714738538
64,"alt","global","tau",275.166934607567
65,"alt","global","tau",451.377757731424
66,"alt","global","tau",30.995003108622
67,"alt","global","tau",52.7715735196537
69,"alt","global","tau",203.706446363204
70,"alt","global","tau",63.3811014560516
71,"alt","global","tau",340.142367080105
72,"alt","global","tau",115.637952034538
73,"alt","global","tau",305.45718541202
74,"alt","global","tau",470.80907841503
75,"alt","global","tau",1096.31420514973
76,"alt","global","tau",241.631902414767
77,"alt","global","tau",563.680173934381
78,"alt","global","tau",217.666889658912
80,"alt","global","tau",840.612420319372
81,"alt","global","tau",124.124962213435
82,"alt","global","tau",218.609123113231
83,"alt","global","tau",383.09134340409
84,"alt","global","tau",155.949025076615
85,"alt","global","tau",737.450985954544
86,"alt","global","tau",132.862549219792
87,"alt","global","tau",402.811573402626
88,"alt","global","tau",282.694824215431
89,"alt","global","tau",439.472176543761
90,"alt","global","tau",-14.3248230687006
91,"alt","global","tau",75.8007524910636
92,"alt","global","tau",130.585568275361
93,"alt","global","tau",237.008668127032
94,"alt","global","tau",285.607230726007
95,"alt","global","tau",416.275111684821
97,"alt","global","tau",346.61980990107
98,"alt","global","tau",119.31847458236
99,"alt","global","tau",211.95154784649
