"ID","presentation","cost","parameter","Score"
100,"alt","global","tau",237.117531204955
101,"alt","global","tau",98.9592452239013
102,"alt","global","tau",566.047950043075
1,"rand","local","mu",-132.073513312808
2,"rand","local","mu",-115.992666061796
3,"rand","local","mu",9.62613534469267
4,"rand","local","mu",-161.506828153565
5,"rand","local","mu",-26.7242948641479
6,"rand","local","mu",-216.40989836415
7,"rand","local","mu",-177.052160929855
8,"rand","local","mu",-240.260298308202
9,"rand","local","mu",-81.1979156542361
10,"rand","local","mu",-487.639403497029
11,"rand","local","mu",-175.6457553014
12,"rand","local","mu",-107.664949617145
13,"rand","local","mu",-433.843429328291
14,"rand","local","mu",-32.8299073416964
16,"rand","local","mu",-130.908402212001
17,"rand","local","mu",-438.689111557069
19,"rand","local","mu",-66.0547286763011
20,"rand","local","mu",-258.552888367343
21,"rand","local","mu",-27.8389159600849
22,"rand","local","mu",-399.022185858473
23,"rand","local","mu",-225.210996748332
24,"rand","local","mu",-455.408294669194
25,"rand","local","mu",21.5835069184756
26,"rand","local","mu",-323.81073563361
27,"rand","local","mu",-82.7162267537863
28,"rand","local","mu",-778.895325652496
29,"rand","local","mu",-38.9415797831102
30,"rand","local","mu",-329.581755357279
31,"rand","local","mu",-277.475902028113
34,"rand","local","mu",-4.10960293625112
35,"rand","local","mu",-144.728172044512
37,"rand","local","mu",-173.731494908986
38,"rand","local","mu",-178.098156750155
39,"rand","local","mu",-57.8462279091543
40,"rand","local","mu",-26.2559765050222
43,"rand","local","mu",-153.241870245601
44,"rand","local","mu",-88.6613127270709
45,"rand","local","mu",-88.8397597958881
46,"rand","local","mu",-157.078134147456
47,"rand","local","mu",-138.278714290349
50,"rand","local","mu",-113.866047132868
51,"rand","local","mu",-170.060686048511
53,"rand","local","mu",-112.000466972997
54,"rand","local","mu",-26.6736909421984
55,"rand","local","mu",-372.82720893484
56,"rand","local","mu",-276.71648031504
57,"rand","local","mu",-21.753575831131
58,"rand","local","mu",-161.236347641832
59,"rand","local","mu",-257.417622934835
60,"rand","local","mu",-76.665439364987
61,"rand","local","mu",-106.534176264594
62,"rand","local","mu",31.1309628228011
63,"rand","local","mu",-79.3710950430846
64,"rand","local","mu",-91.8797194731894
65,"rand","local","mu",-216.165722699483
66,"rand","local","mu",-334.244084239495
67,"rand","local","mu",-98.0487768394996
69,"rand","local","mu",-25.51571081957
70,"rand","local","mu",-259.570943792065
71,"rand","local","mu",-159.862849444951
72,"rand","local","mu",-154.667294910612
73,"rand","local","mu",-18.0920842764189
74,"rand","local","mu",-223.444099389848
75,"rand","local","mu",-244.876782885405
76,"rand","local","mu",-145.832672962552
77,"rand","local","mu",-98.8182071327313
78,"rand","local","mu",-472.637530241069
80,"rand","local","mu",-346.301451495984
81,"rand","local","mu",-216.500330601068
82,"rand","local","mu",-301.203819219944
83,"rand","local","mu",-149.534433970632
84,"rand","local","mu",-209.050115603201
85,"rand","local","mu",-308.147694616931
86,"rand","local","mu",-311.838818021921
87,"rand","local","mu",-65.4729983865407
88,"rand","local","mu",-737.854024645473
89,"rand","local","mu",-170.194310591975
90,"rand","local","mu",-172.867628075339
91,"rand","local","mu",-145.519346921195
92,"rand","local","mu",-172.52334047013
93,"rand","local","mu",-162.347731538364
94,"rand","local","mu",-220.568599328937
95,"rand","local","mu",-119.075761920491
97,"rand","local","mu",-93.5867568236272
98,"rand","local","mu",-246.005395569666
99,"rand","local","mu",-206.876648731116
100,"rand","local","mu",-232.172365754931
101,"rand","local","mu",-73.3715832759217
102,"rand","local","mu",-193.395627352063
1,"rand","local","sigma",-33.5245412228037
2,"rand","local","sigma",-40.4828906692826
3,"rand","local","sigma",71.2125085936974
4,"rand","local","sigma",-117.670134934607
5,"rand","local","sigma",-16.4826082506719
6,"rand","local","sigma",-133.420524309403
7,"rand","local","sigma",-15.2042120934463
8,"rand","local","sigma",-0.457914803489061
9,"rand","local","sigma",-32.1295610665078
10,"rand","local","sigma",-369.658483162286
11,"rand","local","sigma",-108.385957788076
12,"rand","local","sigma",-22.6078556068961
13,"rand","local","sigma",-279.767780965363
14,"rand","local","sigma",-48.3176726118254
16,"rand","local","sigma",549.604195554625
17,"rand","local","sigma",-130.068223081612
19,"rand","local","sigma",-58.8331702350808
20,"rand","local","sigma",-99.1532601388071
21,"rand","local","sigma",-37.2237896516211
22,"rand","local","sigma",-124.968384447847
23,"rand","local","sigma",-81.4228062488024
24,"rand","local","sigma",-195.385814000207
25,"rand","local","sigma",26.3875221448413
26,"rand","local","sigma",-149.150754174551
27,"rand","local","sigma",-50.6289172545539
28,"rand","local","sigma",-278.950906015769
29,"rand","local","sigma",-6.82329981649252
30,"rand","local","sigma",-100.270694720891
31,"rand","local","sigma",-137.918336226789
34,"rand","local","sigma",64.3809123482039
35,"rand","local","sigma",-49.8123628063212
37,"rand","local","sigma",-105.143131930921
38,"rand","local","sigma",-22.4803100974401
39,"rand","local","sigma",73.584897121515
40,"rand","local","sigma",-52.5547233760391
43,"rand","local","sigma",-58.2190445421225
44,"rand","local","sigma",165.244830482049
45,"rand","local","sigma",-30.4313622164886
46,"rand","local","sigma",-59.3235839368513
47,"rand","local","sigma",10.409688054802
50,"rand","local","sigma",-42.3916168418754
51,"rand","local","sigma",-27.3265393250788
53,"rand","local","sigma",0.000130327526179675
54,"rand","local","sigma",52.5889154838594
55,"rand","local","sigma",-96.7499704229352
56,"rand","local","sigma",-162.536937574486
57,"rand","local","sigma",0.616816637399886
58,"rand","local","sigma",-77.1864926178533
59,"rand","local","sigma",-101.86256816901
60,"rand","local","sigma",-81.7986097668036
61,"rand","local","sigma",-38.3238491880259
62,"rand","local","sigma",41.9475785061661
63,"rand","local","sigma",-34.3883084468132
64,"rand","local","sigma",-23.3517963571755
65,"rand","local","sigma",-62.0034781083825
66,"rand","local","sigma",-162.833660190624
67,"rand","local","sigma",3.83021246831046
69,"rand","local","sigma",-29.6418012355246
70,"rand","local","sigma",-110.65384417627
71,"rand","local","sigma",-45.5375211492474
72,"rand","local","sigma",-27.1204930077772
73,"rand","local","sigma",62.0363017554322
74,"rand","local","sigma",-159.644273266936
75,"rand","local","sigma",-91.8540543937542
76,"rand","local","sigma",-7.42155549040359
77,"rand","local","sigma",-55.5341104618908
78,"rand","local","sigma",-266.284392062421
80,"rand","local","sigma",-123.531439765275
81,"rand","local","sigma",-127.581216703358
82,"rand","local","sigma",-53.3692424036345
83,"rand","local","sigma",-21.9330922492171
84,"rand","local","sigma",109.43723653013
85,"rand","local","sigma",-38.3797522695528
86,"rand","local","sigma",-57.1116502979558
87,"rand","local","sigma",-51.8390766681869
88,"rand","local","sigma",-197.941861781994
89,"rand","local","sigma",-32.0505183441667
90,"rand","local","sigma",-40.0097038626996
91,"rand","local","sigma",-17.9484631330286
92,"rand","local","sigma",-79.7383989462472
93,"rand","local","sigma",-80.4829254782948
94,"rand","local","sigma",-71.8368455945988
95,"rand","local","sigma",-25.4341698376467
97,"rand","local","sigma",138.004589797047
98,"rand","local","sigma",-120.227851175593
99,"rand","local","sigma",-41.8236214348548
100,"rand","local","sigma",-88.9967080631452
101,"rand","local","sigma",-70.5410144720988
102,"rand","local","sigma",-168.771148520403
1,"rand","local","tau",40.8348832332225
2,"rand","local","tau",-5.56618834090554
3,"rand","local","tau",-253.795137725199
4,"rand","local","tau",13.1728924756199
5,"rand","local","tau",-86.9257376251749
6,"rand","local","tau",-329.84474104063
7,"rand","local","tau",-156.940810739194
8,"rand","local","tau",105.662683314449
9,"rand","local","tau",43.1393572883006
10,"rand","local","tau",18.3082106714744
11,"rand","local","tau",91.5745959400742
12,"rand","local","tau",-57.8224998598622
13,"rand","local","tau",198.358219149359
14,"rand","local","tau",-141.222283153482
16,"rand","local","tau",-423.251400378146
17,"rand","local","tau",-165.533204031947
19,"rand","local","tau",-0.821644729106595
20,"rand","local","tau",91.945951098038
21,"rand","local","tau",-53.0337429883003
22,"rand","local","tau",142.727614419164
23,"rand","local","tau",10.2904389932258
24,"rand","local","tau",259.960047558771
25,"rand","local","tau",-77.2883185591557
26,"rand","local","tau",-53.3370581343598
27,"rand","local","tau",103.657362798329
28,"rand","local","tau",445.329137039335
29,"rand","local","tau",-169.01210624474
30,"rand","local","tau",221.642279748581
31,"rand","local","tau",100.095729977464
34,"rand","local","tau",-61.5261374491613
35,"rand","local","tau",-26.3121322558002
37,"rand","local","tau",-240.977354086644
38,"rand","local","tau",-32.8845152196375
39,"rand","local","tau",-18.1738906185756
40,"rand","local","tau",38.8616637988328
43,"rand","local","tau",16.2054597287917
44,"rand","local","tau",-53.258205548809
45,"rand","local","tau",102.099965440927
46,"rand","local","tau",53.5007083927317
47,"rand","local","tau",144.594075910991
50,"rand","local","tau",115.857162587743
51,"rand","local","tau",-134.080061310498
53,"rand","local","tau",-2.4057048779149
54,"rand","local","tau",-52.8395797921755
55,"rand","local","tau",259.504552967108
56,"rand","local","tau",44.0988249777743
57,"rand","local","tau",-24.2913154586107
58,"rand","local","tau",-174.261791982243
59,"rand","local","tau",174.747187158049
60,"rand","local","tau",-73.4833796562996
61,"rand","local","tau",11.4477448132124
62,"rand","local","tau",-84.2428803950128
63,"rand","local","tau",-57.2797526600251
64,"rand","local","tau",-71.2152335692642
65,"rand","local","tau",-73.4929818663392
66,"rand","local","tau",64.2333396391015
67,"rand","local","tau",-21.8096984826479
69,"rand","local","tau",36.3354397533978
70,"rand","local","tau",-35.9339229499775
71,"rand","local","tau",-206.813392771065
72,"rand","local","tau",-36.0835631211696
73,"rand","local","tau",-52.3554273892952
74,"rand","local","tau",-65.7395860608242
75,"rand","local","tau",112.398431046754
76,"rand","local","tau",99.3424841147041
77,"rand","local","tau",-202.502710266858
78,"rand","local","tau",74.0900051468684
80,"rand","local","tau",-59.4811060287274
81,"rand","local","tau",-10.2723470042794
82,"rand","local","tau",-229.258761636062
83,"rand","local","tau",-30.4466469847079
84,"rand","local","tau",-130.982206518056
85,"rand","local","tau",29.6031852825845
86,"rand","local","tau",-8.02232732687116
87,"rand","local","tau",94.2098323521917
88,"rand","local","tau",189.19049228667
89,"rand","local","tau",-30.1140841390306
90,"rand","local","tau",-61.0453537959975
91,"rand","local","tau",81.0774217502364
92,"rand","local","tau",9.34913402159879
93,"rand","local","tau",159.191247516978
94,"rand","local","tau",157.635888457758
95,"rand","local","tau",-75.986692995539
97,"rand","local","tau",7.13566843931642
98,"rand","local","tau",46.5617602120333
99,"rand","local","tau",-251.510445349377
100,"rand","local","tau",-76.6826834207719
101,"rand","local","tau",52.5164321829047
102,"rand","local","tau",249.910116014986
1,"alt","local","mu",-235.893112874081
2,"alt","local","mu",-53.612302803265
3,"alt","local","mu",-331.47706185275
4,"alt","local","mu",-106.685673463215
5,"alt","local","mu",-281.694804625587
6,"alt","local","mu",-295.36057919645
7,"alt","local","mu",9.92135298187429
8,"alt","local","mu",-59.6054558878566
9,"alt","local","mu",5.46578310813459
10,"alt","local","mu",-65.9961548729202
11,"alt","local","mu",-112.462377586521
12,"alt","local","mu",-55.9140834236792
13,"alt","local","mu",-71.9253643362887
14,"alt","local","mu",52.3171234778977
16,"alt","local","mu",-219.825020652236
17,"alt","local","mu",-502.226136783591
19,"alt","local","mu",-28.7065551441899
20,"alt","local","mu",-390.617773229925
21,"alt","local","mu",-44.9453954871555
22,"alt","local","mu",-352.439484986118
23,"alt","local","mu",-96.5129311328734
24,"alt","local","mu",-387.938043751732
25,"alt","local","mu",-127.263637489971
26,"alt","local","mu",-89.6864625670726
27,"alt","local","mu",-72.6310261061809
28,"alt","local","mu",-198.29345407872
29,"alt","local","mu",-6.70802516897709
30,"alt","local","mu",65.7676213857553
31,"alt","local","mu",54.0094492370745
34,"alt","local","mu",-88.5510501127268
35,"alt","local","mu",64.6020279699278
37,"alt","local","mu",114.65574350852
38,"alt","local","mu",-63.9597432882965
39,"alt","local","mu",-253.501696323158
40,"alt","local","mu",-76.2376326599077
43,"alt","local","mu",-182.335914233809
44,"alt","local","mu",41.6726678637
45,"alt","local","mu",-120.291431640172
46,"alt","local","mu",-620.654423772344
47,"alt","local","mu",-108.917032548052
50,"alt","local","mu",-46.0195620350644
51,"alt","local","mu",-367.075423501158
53,"alt","local","mu",-96.084164024908
54,"alt","local","mu",110.199639426712
55,"alt","local","mu",-387.362311900938
56,"alt","local","mu",-92.0042566444324
57,"alt","local","mu",-31.5571249441759
58,"alt","local","mu",-246.589456019449
59,"alt","local","mu",-269.919210577613
60,"alt","local","mu",75.9494526209108
61,"alt","local","mu",-124.439361093953
62,"alt","local","mu",107.502098792565
63,"alt","local","mu",-7.17349047990456
64,"alt","local","mu",-132.839789901005
65,"alt","local","mu",-167.600351927948
66,"alt","local","mu",247.428418197495
67,"alt","local","mu",63.5699274287543
69,"alt","local","mu",-18.0432779754435
70,"alt","local","mu",-196.843066995331
71,"alt","local","mu",10.5923256144387
72,"alt","local","mu",-138.011961596073
73,"alt","local","mu",-117.84956483723
74,"alt","local","mu",-270.259338217425
75,"alt","local","mu",-175.999683126437
76,"alt","local","mu",89.7670792376791
77,"alt","local","mu",-200.078364821767
78,"alt","local","mu",-109.881722145412
80,"alt","local","mu",-243.086037820699
81,"alt","local","mu",70.2078493452448
82,"alt","local","mu",-252.124630053075
83,"alt","local","mu",-81.3340992225735
84,"alt","local","mu",-296.293869339682
85,"alt","local","mu",-331.95565188763
86,"alt","local","mu",38.9002019447644
87,"alt","local","mu",-142.496286281245
88,"alt","local","mu",-192.474960422205
89,"alt","local","mu",-249.315634349578
90,"alt","local","mu",-215.788200238881
91,"alt","local","mu",-24.1971394750176
92,"alt","local","mu",-137.977762198077
93,"alt","local","mu",-24.4498989890782
94,"alt","local","mu",-187.111380072455
95,"alt","local","mu",-67.467674933456
97,"alt","local","mu",-85.8006818745812
98,"alt","local","mu",-72.0513768285757
99,"alt","local","mu",-458.336391591074
100,"alt","local","mu",-102.70875178303
101,"alt","local","mu",-142.884525398222
102,"alt","local","mu",34.5154997695454
1,"alt","local","sigma",-131.596110859929
2,"alt","local","sigma",-43.4644558112161
3,"alt","local","sigma",-223.081998264946
4,"alt","local","sigma",-32.5833330738271
5,"alt","local","sigma",-97.2609540808678
6,"alt","local","sigma",-51.4244677509191
7,"alt","local","sigma",-47.7606672126027
8,"alt","local","sigma",33.1792237006917
9,"alt","local","sigma",40.5186252478044
10,"alt","local","sigma",191.964175840176
11,"alt","local","sigma",-26.4211894581519
12,"alt","local","sigma",-24.3748036398859
13,"alt","local","sigma",-49.3653484533763
14,"alt","local","sigma",38.1736610883905
16,"alt","local","sigma",-8.78864834503489
17,"alt","local","sigma",-171.479928638253
19,"alt","local","sigma",63.4997533352598
20,"alt","local","sigma",-188.605020520688
21,"alt","local","sigma",15.4258046760654
22,"alt","local","sigma",-170.433057675242
23,"alt","local","sigma",71.690346341916
24,"alt","local","sigma",-127.31035618117
25,"alt","local","sigma",-42.8237542919804
26,"alt","local","sigma",-32.5576387928631
27,"alt","local","sigma",-63.1015513245011
28,"alt","local","sigma",-40.0168237506939
29,"alt","local","sigma",-27.6781337875933
30,"alt","local","sigma",179.551149792174
31,"alt","local","sigma",87.9809389552853
34,"alt","local","sigma",71.5445383677038
35,"alt","local","sigma",81.9165896817432
37,"alt","local","sigma",96.4732294878076
38,"alt","local","sigma",-89.4236754361154
39,"alt","local","sigma",-149.072228727569
40,"alt","local","sigma",5.82322810877272
43,"alt","local","sigma",-89.2512332933771
44,"alt","local","sigma",-79.9405156351852
45,"alt","local","sigma",-31.9963110378198
46,"alt","local","sigma",-386.662173181495
47,"alt","local","sigma",27.4825360821577
50,"alt","local","sigma",-60.391774340953
51,"alt","local","sigma",-197.550111497721
53,"alt","local","sigma",-121.574173237972
54,"alt","local","sigma",122.858016862842
55,"alt","local","sigma",-1.63328655711561
56,"alt","local","sigma",0.0010655162415432
57,"alt","local","sigma",18.3491684771044
58,"alt","local","sigma",-241.055197120694
59,"alt","local","sigma",-109.294442135546
60,"alt","local","sigma",47.815598232876
61,"alt","local","sigma",-15.8091353627979
62,"alt","local","sigma",56.4982179483919
63,"alt","local","sigma",33.4538652889607
64,"alt","local","sigma",-95.1300910734024
65,"alt","local","sigma",-95.062084263176
66,"alt","local","sigma",173.864555210471
67,"alt","local","sigma",30.2806349834699
69,"alt","local","sigma",-19.3229282900551
70,"alt","local","sigma",-112.79700084464
71,"alt","local","sigma",53.3825884517695
72,"alt","local","sigma",-35.4069829834249
73,"alt","local","sigma",-92.8350924501158
74,"alt","local","sigma",-178.77344530919
75,"alt","local","sigma",-0.0000581209310358415
76,"alt","local","sigma",-4.85513977078126
77,"alt","local","sigma",-103.981901057832
78,"alt","local","sigma",41.2705089485061
80,"alt","local","sigma",-29.6445008026934
81,"alt","local","sigma",94.7022708601191
82,"alt","local","sigma",-76.4334999510275
83,"alt","local","sigma",75.7838702283442
84,"alt","local","sigma",-167.13224730741
85,"alt","local","sigma",-141.87061108284
86,"alt","local","sigma",60.2059799942451
87,"alt","local","sigma",-59.7273381219206
88,"alt","local","sigma",-67.8253046040253
89,"alt","local","sigma",-175.760229175705
90,"alt","local","sigma",-145.030011898814
91,"alt","local","sigma",96.6451082739034
92,"alt","local","sigma",-14.6392560757111
93,"alt","local","sigma",-8.15323236011577
94,"alt","local","sigma",36.8019646384584
95,"alt","local","sigma",-38.7718430107809
97,"alt","local","sigma",-27.2235706715513
98,"alt","local","sigma",-33.6229112654182
99,"alt","local","sigma",-45.3262691622851
100,"alt","local","sigma",0.876939917383432
101,"alt","local","sigma",-44.653095031361
102,"alt","local","sigma",-27.2865923196861
1,"alt","local","tau",234.095771217698
2,"alt","local","tau",7.73127281257877
3,"alt","local","tau",364.352104696915
4,"alt","local","tau",47.6395081467213
5,"alt","local","tau",205.056832809556
6,"alt","local","tau",-19.4811483086648
7,"alt","local","tau",40.0048882022581
8,"alt","local","tau",38.254764032567
9,"alt","local","tau",-96.4722260897539
10,"alt","local","tau",292.407005613354
11,"alt","local","tau",41.0467024924589
12,"alt","local","tau",-3.53487695647203
13,"alt","local","tau",-0.774957443154676
14,"alt","local","tau",-104.817184443257
16,"alt","local","tau",325.258101433964
17,"alt","local","tau",294.927116170259
19,"alt","local","tau",71.6437679042344
20,"alt","local","tau",226.536837263812
21,"alt","local","tau",-74.4658148244736
22,"alt","local","tau",2.74117296121699
23,"alt","local","tau",-224.430903740145
24,"alt","local","tau",256.039267256706
25,"alt","local","tau",35.2194614509579
26,"alt","local","tau",-138.180771912747
27,"alt","local","tau",249.902671264591
28,"alt","local","tau",96.4222345134646
29,"alt","local","tau",-8.31532192967887
30,"alt","local","tau",32.4202846976303
31,"alt","local","tau",-118.169651031642
34,"alt","local","tau",-85.2244457735511
35,"alt","local","tau",-141.911922735848
37,"alt","local","tau",269.674902038082
38,"alt","local","tau",-3.2742394424323
39,"alt","local","tau",152.623144843992
40,"alt","local","tau",25.3628205196307
43,"alt","local","tau",190.706945327996
44,"alt","local","tau",-56.7512261805236
45,"alt","local","tau",156.39690646714
46,"alt","local","tau",597.70510419062
47,"alt","local","tau",151.840176369577
50,"alt","local","tau",51.9942022904324
51,"alt","local","tau",-28.0748731324651
53,"alt","local","tau",-48.4098852502627
54,"alt","local","tau",-72.6075112683168
55,"alt","local","tau",-49.6328911573377
56,"alt","local","tau",264.463422087039
57,"alt","local","tau",-115.989853185768
58,"alt","local","tau",-468.216205080885
59,"alt","local","tau",-69.4463417648016
60,"alt","local","tau",-296.314657333644
61,"alt","local","tau",12.4798995467039
62,"alt","local","tau",-81.9999945896883
63,"alt","local","tau",-25.6697918686096
64,"alt","local","tau",139.068391035405
65,"alt","local","tau",110.826982814868
66,"alt","local","tau",-213.504714438089
67,"alt","local","tau",-100.761070285559
69,"alt","local","tau",-25.3739736512514
70,"alt","local","tau",-54.9166214006463
71,"alt","local","tau",-294.623830534136
72,"alt","local","tau",106.36825725728
73,"alt","local","tau",253.320791876496
74,"alt","local","tau",153.425696025405
75,"alt","local","tau",-115.000475037032
76,"alt","local","tau",120.542095068648
77,"alt","local","tau",180.353318544922
78,"alt","local","tau",-341.063122787762
80,"alt","local","tau",443.078623035972
81,"alt","local","tau",-184.98977007677
82,"alt","local","tau",-90.9704603978594
83,"alt","local","tau",69.8744674538337
84,"alt","local","tau",41.9925904024656
85,"alt","local","tau",365.644905287413
86,"alt","local","tau",-165.195340303219
87,"alt","local","tau",95.6032305664354
88,"alt","local","tau",-251.646683040308
89,"alt","local","tau",226.423853258553
90,"alt","local","tau",-150.131991208273
91,"alt","local","tau",-57.9042263927136
92,"alt","local","tau",-24.470270092604
93,"alt","local","tau",-10.14784526233
94,"alt","local","tau",332.689687235758
95,"alt","local","tau",-18.0523323107928
97,"alt","local","tau",133.087558543486
98,"alt","local","tau",-27.9717242917484
99,"alt","local","tau",74.4184014563505
100,"alt","local","tau",0.260303169057011
101,"alt","local","tau",31.8322662381606
102,"alt","local","tau",121.071800989046
